,Brewery,Brewery Key
0,Alaskan Brewing Co.,34
1,Long Trail Brewing Co.,872
2,Uerige Obergärige Hausbrauerei,1402
3,Off Color Brewing,1019
4,Ninkasi Brewing Company,997
5,Widmer Brothers Brewing Company,1464
6,Southampton Publick House,1237
7,The Olde Mecklenburg Brewery,1336
8,Brauerei Pinkus Mueller,274
9,Yazoo Brewing Company,1481
10,Free State Brewing Co.,616
11,Lagunitas Brewing Company,824
12,Fordham Brewing Company,599
13,Victory Brewing Company - Downingtown,1428
14,Mother's Brewing Company,962
15,Rising Tide Brewing Company,1148
16,Tuckerman Brewing Co.,1391
17,Hops & Grain Brewing,744
18,August Schell Brewing Company,83
19,Union Craft Brewing Company,1409
20,Privatbrauerei Frankenheim,1099
21,Metropolitan Brewing,922
22,Brauerei Diebels GmbH & Co KG,258
23,Mission Brewery,940
24,Hövels Hausbrauerei,751
25,Evolution Craft Brewing Company,561
26,Freigeist Bierkultur,619
27,Cheboygan Brewing Company,428
28,Zipline Brewing Co,1491
29,Les Trois Mousquetaires,854
30,Jester King Brewery,780
31,Driftwood Brewery,525
32,Rahr & Sons Brewing Company,1123
33,Grimm Brothers Brewhouse,678
34,Beau's All Natural Brewing Company,128
35,Duckstein GmbH,529
36,Buzzards Bay Brewing,374
37,Cedar Creek Brewery,408
38,Rush River Brewing Company,1167
39,Brauerei Im Füchschen,269
40,O'Fallon Brewery,1009
41,Creemore Springs Brewery Limited,467
42,Blue Mountain Brewery,182
43,COAST Brewing Company,376
44,3 Nations Brewing Co.,9
45,Detroit Beer Co.,507
46,Trader Joe's Brewing Company,1377
47,Sierra Nevada Brewing Co.,1217
48,Bell's Brewery - Eccentric Café & General Store,135
49,Dogfish Head Craft Brewery,515
50,Central Waters Brewing Co.,411
51,Great Divide Brewing Company,659
52,3 Floyds Brewing Co.,8
53,AleSmith Brewing Company,38
54,Tröegs Brewing Company,1388
55,Rogue Ales,1159
56,Hair Of The Dog Brewing Company / Brewery And Tasting Room,697
57,Anchorage Brewing Company,56
58,Firestone Walker Brewing Co.,582
59,Uinta Brewing Company,1403
60,Brasserie Dieu du Ciel!,215
61,Green Flash Brewing Co.,666
62,21st Amendment Brewery,5
63,Boulder Beer / Wilderness Pub,195
64,Alpine Beer Company,48
65,Boston Beer Company (Samuel Adams),191
66,Real Ale Brewing Company,1130
67,East End Brewing Company,538
68,The Duck-Rabbit Craft Brewery,1321
69,Rock Art Brewery,1157
70,Smuttynose Brewing Company,1231
71,Evil Twin Brewing,560
72,Mad River Brewing Company,886
73,Nøgne Ø - Det Kompromissløse Bryggeri A/S,1007
74,DuClaw Brewing Company,528
75,Mikkeller ApS,931
76,Otter Creek Brewing,1038
77,Hangar 24 Brewing,702
78,Full Sail Brewing Company,625
79,Santa Fe Brewing Company,1184
80,Trillium Brewing Company,1383
81,Big Sky Brewing Company,151
82,Moylan's Brewery,968
83,"Middle Ages Brewing Co., Ltd.",927
84,Berkshire Brewing Company Inc.,140
85,Blue Point Brewing Company,183
86,Pipeworks Brewing Company,1077
87,Goose Island Beer Co.,649
88,Weyerbacher Brewing Co.,1456
89,Pelican Pub & Brewery,1060
90,Anchor Brewing Company,55
91,Deschutes Brewery,505
92,J.W. Lees & Co (Brewers) Ltd,771
93,Midnight Sun Brewing Co.,928
94,Flying Dog Brewery,591
95,Revolution Brewing,1139
96,Kuhnhenn Brewing Company,814
97,Hill Farmstead Brewery,727
98,Arcadia Brewing Company,68
99,The Schlafly Tap Room,1340
100,The Bruery,1317
101,Cigar City Brewing,433
102,Dry Dock Brewing Co.,526
103,Jackie O's Pub & Brewery,774
104,Against The Grain Brewery & Smokehouse,30
105,Fordham & Dominion Brewing Company,598
106,Olde Hickory Brewery,1025
107,Ridgeway Brewing,1143
108,Perennial Artisan Ales,1064
109,Lift Bridge Brewery,858
110,Shipyard Brewing Company,1209
111,Brouwerij De Molen,317
112,Steel Toe Brewing,1262
113,Flossmoor Station Restaurant & Brewery,589
114,Fuller Smith & Turner PLC,626
115,Harvey's Brewery,711
116,Stoudts Brewing Co.,1273
117,Crazy Mountain Brewery,465
118,Central City Brewers + Distillers,410
119,Wychwood Brewery Company Ltd,1475
120,Left Hand Brewing Company,848
121,Redhook Brewlab,1133
122,Southern Tier Brewing Company,1240
123,Heavy Seas Beer,714
124,Eagle Brewery,534
125,Robinsons Family Brewers,1155
126,Greene King / Morland Brewery,671
127,Yards Brewing Co.,1479
128,Black Sheep Brewery PLC,175
129,Foster's Group Limited,606
130,Anderson Valley Brewing Company,58
131,Green Man Brewery,667
132,SweetWater Brewing Company,1291
133,Ska Brewing Co.,1223
134,Short's Brewing Company,1213
135,Tree House Brewing Company,1381
136,Gritty McDuff's Brewing Company,679
137,Shepherd Neame Ltd,1208
138,French Broad River Brewing,621
139,Great Lakes Brewing Co.,661
140,Elysian Brewing Company,551
141,Woodstock Inn Brewery,1472
142,Bent Paddle Brewing Co.,138
143,Elevator Brewery & Draught Haus,549
144,Banks's Park Brewery,108
145,Propeller Brewery,1107
146,Magic Hat Brewing Company,889
147,Community Beer Company,448
148,George Bateman & Son / Batemans Brewery,642
149,Grand Teton Brewing Co.,652
150,"Adnams plc, Sole Bay Brewery",27
151,Southern Prohibition Brewing,1238
152,Coniston Brewing Co. Ltd,452
153,Heineken Nederland B.V.,715
154,City Steam Brewery Café,438
155,Sharp's Brewery,1205
156,Two Brothers Brewing Company,1395
157,Hop Back Brewery plc,741
158,Belhaven Brewery Company Ltd.,134
159,D.L. Geary Brewing Company,478
160,W.H. Brakspear & Sons plc,1435
161,Marshall Brewing Company,904
162,St. Peter's Brewery Co Ltd,1253
163,Carlsberg-Tetley Brewing Ltd,396
164,Wellington County Brewery,1449
165,Sly Fox Brewing Company,1227
166,Robert Cain & Company Limited,1154
167,Oasis Texas Brewing Company,1013
168,Cricket Hill Brewing Co.,470
169,Budweiser Brewing Group UK&I,364
170,Hog's Back Brewery,734
171,RCH Brewery,1117
172,Dark Star Brewing Company Limited,487
173,Samuel Smith Old Brewery (Tadcaster),1180
174,Castle Eden & Camerons Brewing Company Ltd,405
175,George Gale & Company Ltd,643
176,Timothy Taylor's Brewery,1366
177,Strangford Lough Brewing Company Ltd,1278
178,Hook Norton Brewery Co. Ltd.,739
179,Minneapolis Town Hall Brewery,938
180,Brouwerij Bosteels,308
181,Side Project Brewing,1215
182,Brouwerij De Landtsheer NV,315
183,Allagash Brewing Company,44
184,Cobra Beer Partnership Limited,442
185,Cervejaria Sudbrack Ltda,422
186,Devil's Canyon Brewing Company,508
187,Brasserie Licorne,228
188,Oxbow Brewing Company,1040
189,Brouwerij Kortrijk-Dutsel,328
190,Forbidden Root Restaurant & Brewery,597
191,Rügener Insel Brauerei GmbH,1171
192,Panil,1048
193,Calicraft Brewing Co.,384
194,Baxter Brewing Co.,118
195,Transient Artisan Ales,1378
196,Pivovarský dům,1085
197,Handbrauerei Gerhard Forstner,701
198,Back Forty Beer Co.,96
199,Brasserie Lion,229
200,Brouwerij De Vlier,320
201,Old Bisbee Brewing Company,1022
202,Cervejaria Wäls,423
203,Jaks Brewing Co.,777
204,Barrel + Beam,112
205,Heirloom Rustic Ales,716
206,The Lost Abbey,1330
207,Morada Cia Etílica,958
208,Cloudwater Brew Co.,440
209,Tired Hands Brewing Company,1370
210,Fossil Craft Beer Company,605
211,Ahnapee Brewery,31
212,Bruz Beers,363
213,SchwarzwaldGold Braumanufaktur,1199
214,Brewery Bhavana,291
215,Hardywood Park Craft Brewery,708
216,Birds Fly South Ale Project,156
217,Staggeringly Good,1255
218,Sixpoint Brewery,1222
219,Kona Brewing Co.,811
220,Alexander Keith's,40
221,Southern Star Brewing Company,1239
222,Flying Fish Brewing Company,592
223,Odd Side Ales,1016
224,Bissell Brothers Brewing Co.,167
225,Russian River Brewing Company,1170
226,Half Acre Beer Company,698
227,Deep Ellum Brewing Company,497
228,Pabst Brewing Company,1043
229,Molson Coors Canada,948
230,Fulton Beer,628
231,River Horse Brewing Co.,1150
232,Pike Brewing Company,1074
233,Lawson's Finest Liquids,841
234,Thomas Hooker Brewing Company,1355
235,New Orleans Lager & Ale Brewing Company (NOLA),991
236,Alamo Beer Co.,33
237,Rhinegeist Brewery,1141
238,Mayflower Brewing Company,915
239,Abbaye de Leffe S.A.,22
240,Brouwerij De Smedt / Brouwerij Affligem,318
241,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),350
242,Brouwerij Alken-Maes,305
243,Brouwerij Duvel Moortgat NV,321
244,Brasserie Caracole,210
245,Bierbrouwerij De Koningshoeven B.V.,146
246,Brouwerij Van Steenberge N.V.,344
247,Difcom,510
248,The Musketeers Brouwerijcafé,1334
249,Brouwerij Van Honsebrouck N.V.,343
250,De Brabandere,492
251,Brasserie de l'Abbaye du Val-Dieu,244
252,Brasserie St. Feuillien,233
253,Wicked Weed Brewing,1463
254,Wild Wolf Brewing Company,1468
255,Brouwerij Kerkom,327
256,Brouwerij Hof Ten Dormaal,325
257,Leroy Breweries,851
258,Brouwerij Haacht NV,323
259,Two Roads Brewing Company,1396
260,BottleTree Beer Co.,194
261,Brasserie La Binchoise (Malterie des Remparts),225
262,Brasserie De Brunehaut,212
263,Brouwerij Palm NV,335
264,Brasserie Lefèbvre SA,227
265,Brasserie Belgh Brasse,206
266,Brasserie Du Bocq,216
267,Andean Brewing Company / Nap Time Liquid Creation,57
268,Brouwerij Contreras,310
269,Old Forge Brewing Company,1023
270,Brouwerij Smisje,338
271,Brouwerij De Koninck NV,314
272,Brasserie Meteor,230
273,Roman N.V.,1161
274,West Sixth Brewing Company,1452
