,Name,key
0,Amber,251
1,Double Bag,252
2,Long Trail Ale,253
3,Doppelsticke,254
4,Scurry,255
5,Sleigh'r Dark Doüble Alt Ale,256
6,Sticke,257
7,Okto Festival Ale,258
8,Southampton Altbier,259
9,Copper,260
10,Organic Münster Alt,261
11,Altbier,262
12,Gerst Amber,263
13,Ad Astra Ale,264
14,Doppel Sticky,265
15,Copperhead Ale,266
16,Ten Years Alt,267
17,Three Blind Mice,268
18,Ishmael,269
19,Headwall Alt,270
20,Alt-eration Ale,271
21,Schell's Schmaltz's Alt,272
22,Balt Altbier,273
23,Frankenheim Alt,274
24,Iron Works Alt,275
25,Diebels Premium Altbier,276
26,Mission Amber,277
27,Hövels Original,278
28,Secret Spot Alt Ale,279
29,Hoppeditz,280
30,Lighthouse Amber,281
31,Copper ALT.,282
32,Série Signature Sticke Alt,283
33,Simple Means,284
34,Crooked Coast Altbier,285
35,Gravel Road,286
36,Little Red Cap,287
37,Festivale,288
38,Duckstein Rotblondes Original,289
39,Moby D,290
40,Scruffy's Smoked Alt,291
41,Über Alt,292
42,Füchschen Alt,293
43,Sticke It To The Man,294
44,Creemore Springs Collaboration Altbier,295
45,Evan Altmighty,296
46,ALTerior Motive,297
47,GPA (German Pale Ale),298
48,The Detroit Dwarf,299
49,Alternate Dimension,300
50,Bigfoot,4201
51,Third Coast Old Ale,4202
52,Olde School Barleywine,4203
53,Brewer's Reserve Bourbon Barrel Barleywine,4204
54,Old Ruffian,4205
55,Old Horizontal,4206
56,Behemoth,4207
57,Olde GnarlyWine,4208
58,Old Numbskull,4209
59,Flying Mouflan,4210
60,Bigfoot - Barrel-Aged,4211
61,XS Old Crustacean,4212
62,Doggie Claws,4213
63,A Deal With The Devil,4214
64,Helldorado,4215
65,Cockeyed Cooper,4216
66,Solstice D'hiver,4217
67,Anniversary Barley Wine Ale,4218
68,Barleywine Style Ale,4219
69,Lower De Boom Barleywine,4220
70,Killer Penguin Barleywine,4221
71,Great,4222
72,Griffin's BowBoston Beer Company (Samuel Adams),4223
73,Sisyphus,4224
74,Gratitude,4225
75,Barleywine Ale,4226
76,The Vermonster,4227
77,Smuttynose Barleywine Style Ale (Big Beer Series),4228
78,Freudian Slip,4229
