,Ave Rating
2892,4.0
1407,3.91
2493,4.28
2014,3.93
3347,3.71
2962,3.55
518,3.75
1068,3.98
767,4.16
573,2.86
3280,4.12
3053,3.54
1399,3.84
2244,4.19
1041,4.67
1454,2.11
1808,4.18
123,3.76
2240,4.23
2529,4.14
819,4.22
100,4.68
2959,4.13
3107,3.4
3187,3.66
2941,4.54
1192,2.48
2843,4.21
2694,4.51
2123,3.84
2608,3.98
2022,4.11
456,3.6
1896,3.48
381,3.88
3135,3.59
1749,3.55
3303,4.38
1010,4.21
1738,3.16
1767,4.36
662,4.13
3047,3.77
3158,4.45
2371,4.2
2644,4.4
2567,4.22
2788,3.54
845,4.12
542,3.94
3316,4.4
2619,4.0
1133,3.78
2292,3.85
1258,3.84
1578,3.76
1940,3.53
2096,4.19
1048,4.76
3248,3.67
1376,3.81
1647,3.95
3241,3.72
237,3.85
2584,3.96
1270,3.51
3043,3.68
2835,4.57
163,4.3
1374,4.1
252,3.71
1533,3.94
2452,3.83
930,4.34
1966,3.89
2692,4.47
1488,3.21
3315,4.13
2462,3.88
1727,3.68
2232,3.89
2686,4.23
3325,3.97
677,4.04
41,4.05
1949,4.0
1665,3.64
1391,4.07
243,4.07
1151,2.54
2344,3.62
2322,4.1
261,4.08
3078,3.72
834,4.26
2599,4.28
2752,3.77
1801,3.64
1149,2.27
340,3.99
1338,3.77
748,3.42
3027,3.9
480,3.83
1187,3.28
1847,4.01
3050,3.94
783,3.45
2886,4.61
2208,3.72
2702,3.58
2016,4.12
2103,3.68
1233,3.89
1157,3.39
2221,3.74
2384,3.76
1278,2.79
1436,2.25
626,3.89
347,3.64
2149,4.13
1545,3.96
979,3.61
2899,4.33
1392,3.96
911,3.73
2685,4.15
632,4.17
1860,3.5
445,3.72
617,3.62
1552,3.77
1357,3.57
2246,4.37
1566,4.05
2859,4.32
1196,3.68
1587,3.83
353,3.96
613,3.77
1925,3.67
1905,4.28
2132,4.14
57,4.38
1457,3.53
1538,3.96
2465,4.16
2844,3.59
2113,4.23
2461,3.67
1575,3.61
1361,4.12
3045,3.94
1309,3.77
560,3.4
707,3.4
3255,3.73
424,3.49
1093,4.52
647,4.3
72,4.55
1510,3.66
1350,3.92
1234,3.73
1005,4.49
620,3.84
1525,4.11
553,3.81
3095,3.65
2986,4.11
2483,3.56
998,3.51
1554,3.68
3156,3.72
3076,3.52
3342,3.75
1871,3.6
440,3.61
508,4.08
1100,4.21
589,3.18
3352,3.79
649,3.79
3064,4.31
2552,3.89
1897,3.43
1502,3.77
3244,4.18
660,4.11
630,3.96
2915,3.95
2648,4.66
482,3.61
1419,3.76
2872,3.68
2727,3.78
2351,3.86
2177,4.19
1961,3.57
856,4.06
1190,3.37
3087,4.04
530,3.0
3289,4.36
49,4.56
858,4.11
1289,3.19
1072,4.6
719,3.69
3147,3.63
1660,4.62
2526,4.28
3051,3.85
1859,3.37
2392,3.55
1637,4.16
2507,3.76
3077,4.12
2314,3.84
2817,4.31
1261,4.18
2320,4.03
2406,4.04
1195,3.32
2856,4.18
2946,4.11
1878,3.41
297,3.95
1898,3.89
2728,4.12
958,4.05
1506,3.7
1535,3.75
1381,3.75
2196,4.13
349,3.81
2276,3.59
643,3.79
2229,4.19
2422,3.66
669,4.47
1577,3.67
2757,4.08
3224,4.0
1179,2.87
2550,4.17
1323,3.69
2661,4.57
1769,3.71
1950,3.76
786,3.66
3018,4.22
140,3.94
788,3.67
1962,3.69
2994,4.07
714,3.65
1671,4.29
1954,3.62
3079,3.94
1490,3.54
1825,3.55
3173,3.87
618,3.83
406,4.18
1475,4.01
3103,3.03
3346,4.12
3318,4.31
2424,4.28
497,3.73
342,4.16
2183,3.99
3210,3.94
782,3.64
2318,3.83
303,3.2
2749,3.75
2477,3.67
664,3.88
1177,3.48
1244,3.94
2053,3.76
1850,4.01
2765,3.93
2366,3.91
84,4.46
2487,3.95
941,3.92
961,4.08
841,3.61
1697,2.16
2664,4.36
2004,4.0
1880,3.34
1611,3.0
290,4.0
2337,3.43
3021,4.02
604,3.69
2288,3.61
916,4.33
3277,4.53
2059,3.93
1099,3.49
1088,4.17
2359,3.68
2248,4.02
821,4.17
2763,4.11
1302,2.94
1000,3.84
3126,4.28
18,3.84
493,3.48
1125,3.95
1909,3.67
2064,3.08
2328,3.75
1588,3.63
2304,4.1
2057,4.0
687,4.09
1885,3.34
2668,4.38
2266,3.83
2313,4.07
1009,4.24
2706,3.81
360,3.86
2864,4.17
3067,4.16
2159,3.79
1310,3.61
3252,3.78
2639,3.62
3133,3.13
1988,3.84
344,3.79
986,3.73
2466,4.05
743,3.9
3343,3.64
1450,2.53
113,3.62
1377,2.77
1241,4.08
1142,2.33
2003,3.89
1216,3.67
1198,3.53
85,4.39
2451,3.79
668,4.18
1014,4.21
128,3.41
1364,3.62
2917,3.96
1689,4.43
891,3.94
2170,3.94
1359,3.89
307,3.63
383,4.11
150,3.73
1317,3.94
1600,3.22
2592,4.12
426,3.75
494,3.73
1207,3.7
2310,3.71
3279,4.59
1208,3.71
